,game_utilities,total_nodes,final_hands,avg_depth,players_names
67,[13.69784173  2.76258993  2.76258993 44.77697842],"[106, 97714, 96384, 116811]","[11, 6, 6, 41]","[0.0, 3.5833333333333335, 3.4166666666666665, 5.5]","['weak_player', 'optimal_player', 'suboptimal_player', 'paranoid_player']"
68,[33.38129496  1.84172662 10.01438849 18.76258993],"[89786, 97335, 69261, 98163]","[35, 4, 3, 22]","[3.1666666666666665, 5.333333333333333, 2.9166666666666665, 5.333333333333333]","['suboptimal_player', 'paranoid_player', 'optimal_player', 'bounded_paranoid_player']"
69,[13.69784173 10.9352518  29.23741007 10.1294964 ],"[101, 12, 68518, 93120]","[11, 5, 26, 22]","[0.0, 0.0, 5.583333333333333, 3.25]","['weak_player', 'random_player', 'paranoid_player', 'optimal_player']"
70,[10.9352518  15.53956835  6.90647482 30.61870504],"[12, 119, 92385, 83426]","[5, 15, 15, 29]","[0.0, 0.0, 5.75, 3.3333333333333335]","['random_player', 'weak_player', 'paranoid_player', 'optimal_player']"
71,[36.14388489 13.69784173 11.85611511  2.30215827],"[95919, 113593, 105594, 12]","[41, 11, 7, 5]","[3.6666666666666665, 6.166666666666667, 3.75, 0.0]","['suboptimal_player', 'paranoid_player', 'optimal_player', 'random_player']"
72,[13.23741007 15.07913669 19.68345324 16.        ],"[114, 105025, 70848, 12]","[10, 14, 24, 16]","[0.0, 3.3333333333333335, 5.416666666666667, 0.0]","['weak_player', 'suboptimal_player', 'paranoid_player', 'random_player']"
73,[31.53956835 12.77697842  1.38129496 18.30215827],"[81808, 113176, 12, 106]","[31, 9, 3, 21]","[5.666666666666667, 3.5833333333333335, 0.0, 0.0]","['paranoid_player', 'suboptimal_player', 'random_player', 'weak_player']"
74,[19.68345324  2.30215827 41.09352518  0.92086331],"[114328, 106792, 68527, 12]","[24, 5, 33, 2]","[6.166666666666667, 5.75, 3.4166666666666665, 0.0]","['bounded_paranoid_player', 'paranoid_player', 'optimal_player', 'random_player']"
75,[22.79136691 21.52517986  9.20863309 10.47482014],"[115880, 106199, 82578, 80186]","[12, 28, 20, 4]","[6.166666666666667, 5.916666666666667, 3.5833333333333335, 3.75]","['bounded_paranoid_player', 'paranoid_player', 'optimal_player', 'suboptimal_player']"
76,[ 0.92086331 40.63309353 16.          6.44604317],"[12, 111018, 76243, 72650]","[2, 32, 16, 14]","[0.0, 6.333333333333333, 3.5833333333333335, 5.583333333333333]","['random_player', 'paranoid_player', 'suboptimal_player', 'bounded_paranoid_player']"
77,[20.94964029  2.76258993 37.0647482   3.22302158],"[103, 12, 95617, 92382]","[8, 6, 43, 7]","[0.0, 0.0, 6.25, 3.8333333333333335]","['weak_player', 'random_player', 'bounded_paranoid_player', 'optimal_player']"
78,[19.68345324  0.          4.14388489 40.17266187],"[113428, 12, 125743, 109]","[24, 0, 9, 31]","[3.75, 0.0, 3.4166666666666665, 0.0]","['optimal_player', 'random_player', 'suboptimal_player', 'weak_player']"
79,[21.0647482  25.09352518  4.14388489 13.69784173],"[94085, 99089, 94, 95664]","[27, 17, 9, 11]","[3.6666666666666665, 5.75, 0.0, 4.0]","['optimal_player', 'paranoid_player', 'weak_player', 'suboptimal_player']"
80,[12.77697842 14.15827338 16.46043165 20.60431655],"[67325, 102853, 96165, 94005]","[9, 12, 17, 26]","[5.75, 3.4166666666666665, 3.25, 5.333333333333333]","['bounded_paranoid_player', 'suboptimal_player', 'optimal_player', 'paranoid_player']"
81,[13.69784173 17.38129496 27.85611511  5.0647482 ],"[73682, 66600, 91609, 12]","[11, 19, 23, 11]","[5.583333333333333, 3.25, 3.3333333333333335, 0.0]","['paranoid_player', 'optimal_player', 'suboptimal_player', 'random_player']"
82,[ 0.92086331  4.14388489 25.55395683 33.38129496],"[134153, 12, 109091, 77951]","[2, 9, 18, 35]","[3.5, 0.0, 3.3333333333333335, 5.5]","['suboptimal_player', 'random_player', 'optimal_player', 'paranoid_player']"
83,[26.01438849  5.98561151  1.84172662 30.15827338],"[128, 77041, 12, 127669]","[19, 13, 4, 28]","[0.0, 5.916666666666667, 0.0, 3.8333333333333335]","['weak_player', 'bounded_paranoid_player', 'random_player', 'suboptimal_player']"
84,[33.84172662 17.38129496  1.38129496 11.39568345],"[103656, 127751, 98965, 12]","[36, 19, 3, 6]","[3.8333333333333335, 6.75, 4.083333333333333, 0.0]","['suboptimal_player', 'bounded_paranoid_player', 'optimal_player', 'random_player']"
85,[ 4.14388489 31.53956835  0.92086331 27.39568345],"[108025, 104997, 12, 79666]","[9, 31, 2, 22]","[5.75, 5.833333333333333, 0.0, 3.5833333333333335]","['paranoid_player', 'bounded_paranoid_player', 'random_player', 'suboptimal_player']"
86,[31.07913669  4.14388489 13.23741007 15.53956835],"[81507, 12, 78988, 66320]","[30, 9, 10, 15]","[5.75, 0.0, 3.3333333333333335, 5.583333333333333]","['paranoid_player', 'random_player', 'optimal_player', 'bounded_paranoid_player']"
87,[ 2.76258993 32.92086331 25.55395683  2.76258993],"[114436, 72129, 69852, 12]","[6, 34, 18, 6]","[3.5, 5.833333333333333, 5.416666666666667, 0.0]","['optimal_player', 'bounded_paranoid_player', 'paranoid_player', 'random_player']"
88,[11.39568345 28.31654676 20.60431655  3.68345324],"[88304, 96718, 92826, 12]","[6, 24, 26, 8]","[5.916666666666667, 5.666666666666667, 3.25, 0.0]","['bounded_paranoid_player', 'paranoid_player', 'optimal_player', 'random_player']"
89,[ 0.92086331 27.85611511  0.92086331 34.30215827],"[81, 104967, 12, 95455]","[2, 23, 2, 37]","[0.0, 6.166666666666667, 0.0, 5.833333333333333]","['weak_player', 'bounded_paranoid_player', 'random_player', 'paranoid_player']"
90,[15.53956835 15.07913669 31.07913669  2.30215827],"[101010, 90415, 109, 67969]","[15, 14, 30, 5]","[3.5833333333333335, 5.75, 0.0, 5.5]","['optimal_player', 'paranoid_player', 'weak_player', 'bounded_paranoid_player']"
91,[48.          0.         11.39568345  4.60431655],"[100072, 12, 87972, 110]","[48, 0, 6, 10]","[6.916666666666667, 0.0, 6.25, 0.0]","['paranoid_player', 'random_player', 'bounded_paranoid_player', 'weak_player']"
92,[34.64748201  4.14388489  1.84172662 23.36690647],"[106, 91755, 76459, 71424]","[19, 9, 4, 32]","[0.0, 3.4166666666666665, 5.583333333333333, 5.083333333333333]","['weak_player', 'optimal_player', 'bounded_paranoid_player', 'paranoid_player']"
93,[16.46043165  3.22302158 23.71223022 20.60431655],"[110824, 12, 104819, 98]","[17, 7, 14, 26]","[3.5, 0.0, 5.75, 0.0]","['optimal_player', 'random_player', 'bounded_paranoid_player', 'weak_player']"
94,[ 2.76258993  3.22302158 15.53956835 42.47482014],"[123, 12, 109783, 132340]","[6, 7, 15, 36]","[0.0, 0.0, 5.5, 3.1666666666666665]","['weak_player', 'random_player', 'bounded_paranoid_player', 'optimal_player']"
95,[ 4.14388489 36.94964029  0.92086331 21.98561151],"[12, 126, 62219, 97102]","[9, 24, 2, 29]","[0.0, 0.0, 3.5833333333333335, 6.083333333333333]","['random_player', 'weak_player', 'optimal_player', 'bounded_paranoid_player']"
